_id,COUNTY,COUSUB,FIPS,NAME,2010_Total_Population,2010_White_Alone_Population,2010_Black_Alone_Population,2010_American_Indian_and_Alaska_Native_alone_population,2010_Asian_Alone_Population,2010_Native_Hawaiian_and_Other_Pacific_Islander_alone_Populatio,2010_Any_other_single_race_alone_Popualtion,2010_Population_two_or_more_races,2010_Hispanic_or_Latino_Population,2020_Total_Population,2020_White_Alone_Population,2020_Black_Alone_Population,2020_American_Indian_and_Alaska_Native_alone_population,2020_Asian_Alone_Population,2020_Native_Hawaiian_and_Other_Pacific_Islander_alone_Populatio,2020_Any_other_single_race_alone_Popualtion,2020_Population_two_or_more_races,2020_Hispanic_or_Latino_Population,Change_2010_to_2020_Total_Population,Change_2010_to_2020_White_Alone_Population,Change_2010_to_2020_Black_Alone_Population,Change_2010_to_2020_American_Indian_and_Alaska_Native_alone_pop,Change_2010_to_2020_Asian_Alone_Population,Change_2010_to_2020_Native_Hawaiian_and_Other_Pacific_Islander_,Change_2010_to_2020_Any_other_single_race_alone_Popualtion,Change_2010_to_2020_Population_two_or_more_races,Change_2010_to_2020_Hispanic_or_Latino_Population,Percent_Change_2010_to_2020_Total_Population,Percent_Change_2010_to_2020_White_Alone_Population,Percent_Change_2010_to_2020_Black_Alone_Population,Percent_Change_2010_to_2020_American_Indian_and_Alaska_Native_a,Percent_Change_2010_to_2020_Asian_Alone_Population,Percent_Change_2010_to_2020_Native_Hawaiian_and_Other_Pacific_I,Percent_Change_2010_to_2020_Any_other_single_race_alone_Popualt,Percent_Change_2010_to_2020_Population_two_or_more_races,Percent_Change_2010_to_2020_Hispanic_or_Latino_Population
52,Allegheny,32624,4200332624,Harmar township,2921,2854,18,1,21,1,0,26,32,3133,2901,37,2,55,0,12,126,46,212,47,19,1,34,-1,12,100,14,7.30%,1.60%,105.60%,100.00%,161.90%,-100.00%,,384.60%,43.80%
53,Allegheny,32832,4200332832,Harrison township,10461,9808,366,14,61,0,17,195,97,10157,9006,428,13,109,1,58,542,148,-304,-802,62,-1,48,1,41,347,51,-2.90%,-8.20%,16.90%,-7.10%,78.70%,,241.20%,177.90%,52.60%
54,Allegheny,33312,4200333312,Haysville borough,70,66,0,0,1,0,2,1,2,81,75,0,0,0,0,0,6,1,11,9,0,0,-1,0,-2,5,-1,15.70%,13.60%,,,-100.00%,,-100.00%,500.00%,-50.00%
55,Allegheny,33592,4200333592,Heidelberg borough,1244,1193,29,0,5,0,4,13,19,1288,1143,51,3,16,0,11,64,30,44,-50,22,3,11,0,7,51,11,3.50%,-4.20%,75.90%,,220.00%,,175.00%,392.30%,57.90%
56,Allegheny,35424,4200335424,Homestead borough,3165,1037,1872,6,96,0,24,130,58,2884,821,1754,5,54,0,63,187,94,-281,-216,-118,-1,-42,0,39,57,36,-8.90%,-20.80%,-6.30%,-16.70%,-43.80%,,162.50%,43.80%,62.10%
57,Allegheny,36808,4200336808,Indiana township,7253,6641,99,9,405,0,30,69,119,7254,6337,118,8,400,3,38,350,166,1,-304,19,-1,-5,3,8,281,47,0.00%,-4.60%,19.20%,-11.10%,-1.20%,,26.70%,407.20%,39.50%
58,Allegheny,37000,4200337000,Ingram borough,3330,3053,189,6,24,0,9,49,37,3391,2783,307,10,43,0,24,224,59,61,-270,118,4,19,0,15,175,22,1.80%,-8.80%,62.40%,66.70%,79.20%,,166.70%,357.10%,59.50%
59,Allegheny,37955,4200337955,Jefferson Hills borough,10619,10184,191,11,143,2,19,69,96,12424,11092,290,9,461,1,62,509,243,1805,908,99,-2,318,-1,43,440,147,17.00%,8.90%,51.80%,-18.20%,222.40%,-50.00%,226.30%,637.70%,153.10%
60,Allegheny,39312,4200339312,Kennedy township,7672,7435,97,5,62,1,8,64,45,8701,7865,324,2,135,0,50,325,141,1029,430,227,-3,73,-1,42,261,96,13.40%,5.80%,234.00%,-60.00%,117.70%,-100.00%,525.00%,407.80%,213.30%
61,Allegheny,39624,4200339624,Kilbuck township,697,682,5,0,1,0,0,9,4,773,733,7,0,8,0,1,24,3,76,51,2,0,7,0,1,15,-1,10.90%,7.50%,40.00%,,700.00%,,,166.70%,-25.00%
62,Allegheny,42368,4200342368,Leet township,1634,1497,57,4,43,0,6,27,34,1624,1409,55,2,35,0,21,102,59,-10,-88,-2,-2,-8,0,15,75,25,-0.60%,-5.90%,-3.50%,-50.00%,-18.60%,,250.00%,277.80%,73.50%
63,Allegheny,42392,4200342392,Leetsdale borough,1218,1048,93,1,18,0,10,48,28,1162,922,95,2,23,0,15,105,43,-56,-126,2,1,5,0,5,57,15,-4.60%,-12.00%,2.20%,100.00%,27.80%,,50.00%,118.80%,53.60%
64,Allegheny,43064,4200343064,Liberty borough,2551,2487,36,3,6,0,2,17,11,2355,2183,45,2,5,0,5,115,32,-196,-304,9,-1,-1,0,3,98,21,-7.70%,-12.20%,25.00%,-33.30%,-16.70%,,150.00%,576.50%,190.90%
65,Allegheny,43408,4200343408,Lincoln borough,1072,1054,7,1,4,0,0,6,2,932,891,4,3,0,1,13,20,5,-140,-163,-3,2,-4,1,13,14,3,-13.10%,-15.50%,-42.90%,200.00%,-100.00%,,,233.30%,150.00%
66,Allegheny,47696,4200347696,Marshall township,6915,6254,85,8,456,3,22,87,152,10080,7506,147,11,1792,2,87,535,361,3165,1252,62,3,1336,-1,65,448,209,45.80%,20.00%,72.90%,37.50%,293.00%,-33.30%,295.50%,514.90%,137.50%
67,Allegheny,45900,4200345900,McCandless township,28457,26139,473,25,1436,11,84,289,311,29698,25686,573,26,1962,7,199,1245,639,1241,-453,100,1,526,-4,115,956,328,4.40%,-1.70%,21.10%,4.00%,36.60%,-36.40%,136.90%,330.80%,105.50%
68,Allegheny,46072,4200346072,McDonald borough,383,368,12,1,0,0,0,2,6,396,370,5,0,0,2,0,19,7,13,2,-7,-1,0,2,0,17,1,3.40%,0.50%,-58.30%,-100.00%,,,,850.00%,16.70%
69,Allegheny,46264,4200346264,McKees Rocks borough,6104,3896,1879,10,25,0,21,273,101,5920,2878,2454,14,75,2,68,429,129,-184,-1018,575,4,50,2,47,156,28,-3.00%,-26.10%,30.60%,40.00%,200.00%,,223.80%,57.10%,27.70%
70,Allegheny,46256,4200346256,McKeesport city,19731,12296,6301,60,52,8,114,900,451,17727,9175,6937,52,49,5,252,1257,625,-2004,-3121,636,-8,-3,-3,138,357,174,-10.20%,-25.40%,10.10%,-13.30%,-5.80%,-37.50%,121.10%,39.70%,38.60%
71,Allegheny,49920,4200349920,Millvale borough,3744,3487,143,10,9,0,18,77,52,3376,2978,122,7,19,0,43,207,115,-368,-509,-21,-3,10,0,25,130,63,-9.80%,-14.60%,-14.70%,-30.00%,111.10%,,138.90%,168.80%,121.20%
72,Allegheny,50528,4200350528,Monroeville municipality,28386,22570,3325,44,1669,11,119,648,425,28640,20084,4394,41,2136,9,443,1533,788,254,-2486,1069,-3,467,-2,324,885,363,0.90%,-11.00%,32.20%,-6.80%,28.00%,-18.20%,272.30%,136.60%,85.40%
73,Allegheny,50784,4200350784,Moon township,24185,21712,1086,24,759,6,186,412,488,27240,22290,1408,43,1394,8,399,1698,1114,3055,578,322,19,635,2,213,1286,626,12.60%,2.70%,29.70%,79.20%,83.70%,33.30%,114.50%,312.10%,128.30%
74,Allegheny,51696,4200351696,Mount Lebanon township,33137,31014,352,13,1221,8,96,433,580,34075,29696,498,29,1564,8,286,1994,1132,938,-1318,146,16,343,0,190,1561,552,2.80%,-4.20%,41.50%,123.10%,28.10%,0.00%,197.90%,360.50%,95.20%
75,Allegheny,51744,4200351744,Mount Oliver borough,3403,2090,1119,10,39,0,17,128,65,3394,1599,1273,12,136,0,80,294,184,-9,-491,154,2,97,0,63,166,119,-0.30%,-23.50%,13.80%,20.00%,248.70%,,370.60%,129.70%,183.10%
76,Allegheny,52320,4200352320,Munhall borough,11406,9979,1079,14,109,3,41,181,166,10774,8638,1385,10,114,0,100,527,254,-632,-1341,306,-4,5,-3,59,346,88,-5.50%,-13.40%,28.40%,-28.60%,4.60%,-100.00%,143.90%,191.20%,53.00%
77,Allegheny,53136,4200353136,Neville township,1084,958,36,3,1,0,50,36,70,1108,895,88,5,8,2,14,96,61,24,-63,52,2,7,2,-36,60,-9,2.20%,-6.60%,144.40%,66.70%,700.00%,,-72.00%,166.70%,-12.90%
