_id,COUNTY,COUSUB,FIPS,NAME,2010_Total_Population,2010_White_Alone_Population,2010_Black_Alone_Population,2010_American_Indian_and_Alaska_Native_alone_population,2010_Asian_Alone_Population,2010_Native_Hawaiian_and_Other_Pacific_Islander_alone_Populatio,2010_Any_other_single_race_alone_Popualtion,2010_Population_two_or_more_races,2010_Hispanic_or_Latino_Population,2020_Total_Population,2020_White_Alone_Population,2020_Black_Alone_Population,2020_American_Indian_and_Alaska_Native_alone_population,2020_Asian_Alone_Population,2020_Native_Hawaiian_and_Other_Pacific_Islander_alone_Populatio,2020_Any_other_single_race_alone_Popualtion,2020_Population_two_or_more_races,2020_Hispanic_or_Latino_Population,Change_2010_to_2020_Total_Population,Change_2010_to_2020_White_Alone_Population,Change_2010_to_2020_Black_Alone_Population,Change_2010_to_2020_American_Indian_and_Alaska_Native_alone_pop,Change_2010_to_2020_Asian_Alone_Population,Change_2010_to_2020_Native_Hawaiian_and_Other_Pacific_Islander_,Change_2010_to_2020_Any_other_single_race_alone_Popualtion,Change_2010_to_2020_Population_two_or_more_races,Change_2010_to_2020_Hispanic_or_Latino_Population,Percent_Change_2010_to_2020_Total_Population,Percent_Change_2010_to_2020_White_Alone_Population,Percent_Change_2010_to_2020_Black_Alone_Population,Percent_Change_2010_to_2020_American_Indian_and_Alaska_Native_a,Percent_Change_2010_to_2020_Asian_Alone_Population,Percent_Change_2010_to_2020_Native_Hawaiian_and_Other_Pacific_I,Percent_Change_2010_to_2020_Any_other_single_race_alone_Popualt,Percent_Change_2010_to_2020_Population_two_or_more_races,Percent_Change_2010_to_2020_Hispanic_or_Latino_Population
116,Allegheny,79274,4200379274,Upper St. Clair township,19229,17717,152,7,1097,2,53,201,254,21160,17682,209,26,1989,3,152,1099,576,1931,-35,57,19,892,1,99,898,322,10.00%,-0.20%,37.50%,271.40%,81.30%,50.00%,186.80%,446.80%,126.80%
117,Allegheny,80032,4200380032,Verona borough,2474,2224,193,2,4,0,11,40,54,2492,2088,235,1,13,0,26,129,63,18,-136,42,-1,9,0,15,89,9,0.70%,-6.10%,21.80%,-50.00%,225.00%,,136.40%,222.50%,16.70%
118,Allegheny,80040,4200380040,Versailles borough,1515,1375,94,2,11,0,1,32,15,1476,1172,195,3,4,0,16,86,37,-39,-203,101,1,-7,0,15,54,22,-2.60%,-14.80%,107.40%,50.00%,-63.60%,,1500.00%,168.80%,146.70%
119,Allegheny,80600,4200380600,Wall borough,580,521,41,0,3,0,0,15,6,519,414,56,0,1,0,3,45,12,-61,-107,15,0,-2,0,3,30,6,-10.50%,-20.50%,36.60%,,-66.70%,,,200.00%,100.00%
120,Allegheny,82800,4200382800,West Deer township,11771,11570,60,16,52,2,11,60,95,12262,11708,56,10,43,1,58,386,183,491,138,-4,-6,-9,-1,47,326,88,4.20%,1.20%,-6.70%,-37.50%,-17.30%,-50.00%,427.30%,543.30%,92.60%
121,Allegheny,82848,4200382848,West Elizabeth borough,518,501,15,0,0,0,0,2,0,403,373,6,0,1,0,1,22,8,-115,-128,-9,0,1,0,1,20,8,-22.20%,-25.50%,-60.00%,,,,,1000.00%,
122,Allegheny,83200,4200383200,West Homestead borough,1929,1620,249,1,8,0,7,44,17,1872,1487,258,0,9,1,23,94,45,-57,-133,9,-1,1,1,16,50,28,-3.00%,-8.20%,3.60%,-100.00%,12.50%,,228.60%,113.60%,164.70%
123,Allegheny,83512,4200383512,West Mifflin borough,20313,17580,2230,14,78,0,51,360,251,19589,15632,2489,21,185,2,204,1056,453,-724,-1948,259,7,107,2,153,696,202,-3.60%,-11.10%,11.60%,50.00%,137.20%,,300.00%,193.30%,80.50%
124,Allegheny,84144,4200384144,West View borough,6771,6498,114,2,36,2,14,105,68,6685,5982,189,7,79,3,58,367,177,-86,-516,75,5,43,1,44,262,109,-1.30%,-7.90%,65.80%,250.00%,119.40%,50.00%,314.30%,249.50%,160.30%
125,Allegheny,84440,4200384440,Whitaker borough,1271,1091,152,0,0,0,9,19,18,1179,874,192,2,6,0,19,86,37,-92,-217,40,2,6,0,10,67,19,-7.20%,-19.90%,26.30%,,,,111.10%,352.60%,105.60%
126,Allegheny,84704,4200384704,White Oak borough,7862,7367,280,9,71,6,14,115,73,7630,6759,443,10,44,7,63,304,137,-232,-608,163,1,-27,1,49,189,64,-3.00%,-8.30%,58.20%,11.10%,-38.00%,16.70%,350.00%,164.30%,87.70%
127,Allegheny,84512,4200384512,Whitehall borough,13944,12701,521,11,532,3,24,152,132,15064,11772,688,12,1985,5,88,514,210,1120,-929,167,1,1453,2,64,362,78,8.00%,-7.30%,32.10%,9.10%,273.10%,66.70%,266.70%,238.20%,59.10%
128,Allegheny,85184,4200385184,Wilkins township,6357,5320,752,16,132,1,25,111,80,6350,4534,1244,8,154,4,72,334,149,-7,-786,492,-8,22,3,47,223,69,-0.10%,-14.80%,65.40%,-50.00%,16.70%,300.00%,188.00%,200.90%,86.30%
129,Allegheny,85188,4200385188,Wilkinsburg borough,15930,4510,10615,67,163,3,69,503,289,14349,4582,8423,33,244,2,197,868,416,-1581,72,-2192,-34,81,-1,128,365,127,-9.90%,1.60%,-20.70%,-50.70%,49.70%,-33.30%,185.50%,72.60%,43.90%
130,Allegheny,85496,4200385496,Wilmerding borough,2190,1647,395,12,7,0,20,109,51,1781,948,670,9,10,0,18,126,59,-409,-699,275,-3,3,0,-2,17,8,-18.70%,-42.40%,69.60%,-25.00%,42.90%,,-10.00%,15.60%,15.70%
